Neighborhood,Total_Homes,Arrest_Count,Incident_Count,Norm_Homes,Norm_Arrests,Norm_Incidents,Safety_Score
North Oakland,930.0,455.0,136,0.21252285191956125,0.8975225225225225,0.5723270440251572,0.560790806155747
North Shore,0.0,814.0,87,0.0,0.8166666666666667,0.7264150943396226,0.5143605870020964
Northview Heights,4.0,713.0,67,0.0009140767824497258,0.8394144144144144,0.7893081761006289,0.5432122224324977
Oakwood,280.0,82.0,13,0.06398537477148081,0.9815315315315315,0.9591194968553459,0.6682121343861195
Overbrook,1284.0,331.0,62,0.29341864716636196,0.9254504504504505,0.8050314465408805,0.6746335147192309
Perry North,1136.0,587.0,115,0.2595978062157221,0.8677927927927928,0.6383647798742138,0.5885851262942429
Perry South,869.0,1057.0,173,0.19858318098720293,0.7619369369369369,0.4559748427672956,0.47216498689714514
Point Breeze,1586.0,301.0,73,0.3624314442413163,0.9322072072072072,0.770440251572327,0.6883596343402836
Point Breeze North,343.0,289.0,52,0.07838208409506399,0.9349099099099099,0.8364779874213837,0.6165899938087859
Polish Hill,379.0,166.0,40,0.08660877513711152,0.9626126126126127,0.8742138364779874,0.6411450747425705
Regent Square,327.0,37.0,9,0.07472577696526508,0.9916666666666667,0.9716981132075472,0.6793635189464929
Ridgemont,142.0,37.0,12,0.03244972577696526,0.9916666666666667,0.9622641509433962,0.6621268477956761
Shadyside,2030.0,971.0,195,0.4638939670932358,0.7813063063063064,0.3867924528301887,0.5439975754099103
Sheraden,1240.0,1285.0,180,0.283363802559415,0.7105855855855856,0.4339622641509434,0.47597055076531464
South Oakland,485.0,354.0,102,0.11083180987202924,0.9202702702702703,0.679245283018868,0.5701157877203892
South Shore,0.0,301.0,27,0.0,0.9322072072072072,0.9150943396226415,0.6157671822766163
South Side Flats,1413.0,3497.0,304,0.32289762340036565,0.21238738738738738,0.04402515723270439,0.19310338934015248
South Side Slopes,1041.0,801.0,112,0.23788848263254114,0.8195945945945946,0.6477987421383649,0.5684272731218335
Spring Garden,269.0,219.0,26,0.06147166361974406,0.9506756756756757,0.9182389937106918,0.6434621110020372
Spring Hill-City View,642.0,711.0,117,0.14670932358318098,0.8398648648648649,0.6320754716981132,0.5395498867153864
Squirrel Hill North,2065.0,290.0,138,0.4718921389396709,0.9346846846846847,0.5660377358490566,0.6575381864911374
Squirrel Hill South,3069.0,812.0,272,0.7013254113345521,0.8171171171171171,0.14465408805031443,0.5543655388339945
St. Clair,52.0,55.0,15,0.011882998171846435,0.9876126126126126,0.9528301886792453,0.6507752664879014
Stanton Heights,1733.0,223.0,63,0.3960237659963437,0.9497747747747748,0.8018867924528301,0.7158951110746495
Strip District,81.0,503.0,79,0.01851005484460695,0.8867117117117117,0.7515723270440251,0.5522646978667812
Summer Hill,377.0,76.0,21,0.08615173674588665,0.9828828828828828,0.9339622641509434,0.667665627926571
Swisshelm Park,510.0,43.0,17,0.11654478976234003,0.9903153153153154,0.9465408805031447,0.6844669951936
Terrace Village,38.0,297.0,87,0.008683729433272395,0.9331081081081081,0.7264150943396226,0.5560689772936677
Troy Hill,622.0,439.0,88,0.14213893967093236,0.9011261261261261,0.7232704402515724,0.588845168682877
Upper Hill,493.0,370.0,52,0.1126599634369287,0.9166666666666666,0.8364779874213837,0.6219348725083264
Upper Lawrenceville,689.0,189.0,56,0.15744972577696525,0.9574324324324325,0.8238993710691824,0.6462605097595268
West End,39.0,290.0,23,0.008912248628884826,0.9346846846846847,0.9276729559748428,0.6237566297628041
West Oakland,173.0,325.0,65,0.03953382084095064,0.9268018018018018,0.7955974842767295,0.5873110356398273
Westwood,996.0,226.0,28,0.22760511882998172,0.9490990990990991,0.9119496855345912,0.6962179678212239
